# CMD: bash .opencode/_scripts/fixtures/fixture-scripts-count.sh 
# ENV: bun=1.3.14 node=v25.2.1 python3=Python 3.14.6 ruby=ruby 3.4.10 (2026-06-30 revision 2b0b7728dc) +PRISM [x86_64-linux] rustc=rustc 1.97.1 (8bab26f4f 2026-07-14) (Arch Linux rust 1:1.97.1-1.1) go=go version go1.26.5-X:nodwarf5 linux/amd64
# DATE: 2026-08-01T19:34:34-06:00
# PID: 480395
# DUR: 117ms
# exit: 0
# GIT: assembler@087b240
# BRANCH: main
# SCOPE: _scripts
# SESSION: scripts-fixtures
# TASK: run-scripts
# CLI: bash 5.3.15(1)-release
# ARGS: .opencode/_scripts/fixtures/fixture-scripts-count.sh 
# OUT: go-cli count
# IN: assembler-cli=327f262a82ae9d5863c40573765500ccd7c52a4d1efd26a4dd1d3aff364cbc34
# CWD: /home/eddyr/assembler
# --------------------
Entity Type      | Count
-----------------|------
abstractions     | 3    
apologias        | 1    
biology          | 5    
cognitions       | 35   
concepts         | 62   
definitions      | 5    
identities       | 35   
illustrations    | 80   
investigations   | 3    
linguistics      | 1    
machine-learning | 1    
manifests        | 1    
maxims           | 9    
nexus            | 11   
notes            | 0    
patterns         | 8    
persons          | 8    
precepts         | 12   
protocols        | 47   
references       | 34   
specifications   | 25   
taxonomies       | 3    
terms            | 28   
# OUT_LINES: 25
# OUT_BYTES: 625
# ERR_LINES: 0
# SHA: 7ca0d06d91c715eed7ea72f3961b3a9dc864d3fa1c0fefd166b45d74fa806e3b
