# CMD: bash .opencode/_scripts/fixtures/fixture-scripts-naming.sh 
# ENV: bun=1.3.14 node=v25.2.1 python3=Python 3.14.6 ruby=ruby 3.4.10 (2026-06-30 revision 2b0b7728dc) +PRISM [x86_64-linux] rustc=rustc 1.97.1 (8bab26f4f 2026-07-14) (Arch Linux rust 1:1.97.1-1.1) go=go version go1.26.5-X:nodwarf5 linux/amd64
# DATE: 2026-08-01T19:35:05-06:00
# PID: 480953
# DUR: 144ms
# exit: 0
# GIT: assembler@087b240
# BRANCH: main
# SCOPE: _scripts
# SESSION: scripts-fixtures
# TASK: run-scripts
# CLI: bash 5.3.15(1)-release
# ARGS: .opencode/_scripts/fixtures/fixture-scripts-naming.sh 
# OUT: ruby r1-entity-naming
# IN: r1-entity-naming.rb=8cba45a7b9e77a9590c1ca448dec3b64890425a112b275ed2cf23d5a67d04941
# CWD: /home/eddyr/assembler
# --------------------
naming violations (298):
ID                             | Type           | Violation | Detail                              
-------------------------------|----------------|-----------|-------------------------------------
meta-audit                     | investigations | lowercase | contains lowercase letter           
meta-audit                     | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
conscientious-objection        | investigations | lowercase | contains lowercase letter           
conscientious-objection        | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
meta-audit                     | investigations | lowercase | contains lowercase letter           
meta-audit                     | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
meta-audit                     | investigations | lowercase | contains lowercase letter           
meta-audit                     | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
meta-audit                     | investigations | lowercase | contains lowercase letter           
meta-audit                     | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
meta-audit                     | investigations | lowercase | contains lowercase letter           
meta-audit                     | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
china                          | investigations | lowercase | contains lowercase letter           
china                          | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
eu                             | investigations | lowercase | contains lowercase letter           
eu                             | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
india                          | investigations | lowercase | contains lowercase letter           
india                          | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
japan-korea                    | investigations | lowercase | contains lowercase letter           
japan-korea                    | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
us-uk-western                  | investigations | lowercase | contains lowercase letter           
us-uk-western                  | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
book-abandonment-meta-audit    | investigations | lowercase | contains lowercase letter           
book-abandonment-meta-audit    | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
meta-audit                     | investigations | lowercase | contains lowercase letter           
meta-audit                     | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
meta-audit                     | investigations | lowercase | contains lowercase letter           
meta-audit                     | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
creative-coding-genealogy      | investigations | lowercase | contains lowercase letter           
creative-coding-genealogy      | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
meta-audit                     | investigations | lowercase | contains lowercase letter           
meta-audit                     | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
classroom-deliberation         | investigations | lowercase | contains lowercase letter           
classroom-deliberation         | investigations | format    | does not match PREFIX.UPPER.SEGMENTS
