# CMD: bash .opencode/_scripts/fixtures/fixture-scripts-count.sh 
# ENV: bun=1.3.14 node=v25.2.1 python3=Python 3.14.6 ruby=ruby 3.4.10 (2026-06-30 revision 2b0b7728dc) +PRISM [x86_64-linux] rustc=rustc 1.97.1 (8bab26f4f 2026-07-14) (Arch Linux rust 1:1.97.1-1.1) go=go version go1.26.5-X:nodwarf5 linux/amd64
# TOOLS: git=git version 2.55.0 sha256sum=sha256sum (GNU coreutils) 9.11 date=date (GNU coreutils) 9.11 wc=wc (GNU coreutils) 9.11 cat=cat (GNU coreutils) 9.11 tee=tee (GNU coreutils) 9.11 mktemp=mktemp (GNU coreutils) 9.11 rm=rm (GNU coreutils) 9.11 timeout=timeout (GNU coreutils) 9.11 tr=tr (GNU coreutils) 9.11 head=head (GNU coreutils) 9.11 cut=cut (GNU coreutils) 9.11
# DATE: 2026-08-01T20:01:51-06:00
# PID: 496624
# DUR: 165ms
# exit: 0
# TRACER: tracexec
# PROGS: bash=GNU bash, version 5.3.15(1)-release (x86_64-pc-linux-gnu) dirname=dirname (GNU coreutils) 9.11 assembler-cli=(no --version)
# GIT: assembler@087b240
# BRANCH: main
# SCOPE: _scripts
# SESSION: progs-continue
# TASK: run-scripts
# CLI: bash 5.3.15(1)-release
# ARGS: .opencode/_scripts/fixtures/fixture-scripts-count.sh 
# IN: assembler-cli=327f262a82ae9d5863c40573765500ccd7c52a4d1efd26a4dd1d3aff364cbc34
# CWD: /home/eddyr/assembler
# --------------------
Entity Type      | Count
-----------------|------
abstractions     | 3    
apologias        | 1    
biology          | 5    
cognitions       | 35   
concepts         | 62   
definitions      | 5    
identities       | 35   
illustrations    | 80   
investigations   | 3    
linguistics      | 1    
machine-learning | 1    
manifests        | 1    
maxims           | 9    
nexus            | 11   
notes            | 0    
patterns         | 8    
persons          | 8    
precepts         | 12   
protocols        | 47   
references       | 34   
specifications   | 25   
taxonomies       | 3    
terms            | 28   
# OUT_LINES: 25
# OUT_BYTES: 625
# ERR_LINES: 0
# SHA: 34fa3c9a0a7ce3e91af0cf460f8a264586fc2c571e1086cc102994122920492e
