file	title	author	game	kind	size_bytes	date	source	header
b2b.zip	Back to Basics	Espi	doom	maps	1456512	12/16/07	levels/doom/a-c/b2b.zip	PWAD
boh666.zip	Brood of Hatred	Christian Lian	doom2	maps	1013700	01/18/10	levels/doom2/a-c/boh666.zip	PWAD
class_ep.zip	The Classic Episode	Jan Van der Veken	doom	episode	460709	08/31/02	levels/doom/a-c/class_ep.zip	PWAD
crusades.zip	crusades.wad Issue 1	Richard Wiles	doom	episode	782134	09/04/99	levels/doom/a-c/crusades.zip	PWAD
e1m8b.zip	Tech Gone Bad	John Romero	doom	map	220162	01/16/16	levels/doom/Ports/d-f/e1m8b.zip	PWAD
epic.zip	EPIC	Alexander "Eternal" S.	doom2	map	3354653	10/10/07	levels/doom2/Ports/d-f/epic.zip	PWAD
f_ep2.zip	F_Episode 2	Matthew "Foodles" Edwards	doom	episode	354791	11/20/10	levels/doom/d-f/f_ep2.zip	PWAD
hoover.zip	Hoover Dam	Michael Reed	doom2	map	92453	01/11/96	levels/doom2/g-i/hoover.zip	PWAD
invade2.zip	INVASION II: The Upper Decks	Andy Chen, Claude Martins	doom	map	655718	10/03/94	levels/doom/g-i/invade2.zip	PWAD
monument.zip	Monument	Chris Hansen	doom	episode	1383906	09/25/15	levels/doom/Ports/m-o/monument.zip	PWAD
nos4dead.zip	No Sleep for the Dead	Jan Van der Veken	doom	episode	631588	03/20/16	levels/doom/m-o/nos4dead.zip	PWAD
remain1.zip	Remain 1	Alexander "Eternal" S.	doom2	megawad	903185	09/03/07	levels/doom2/p-r/remain1.zip	PWAD
scythex.zip	Scythe X Episodes 1-2	Erik Alm	doom2	megawad	6904537	09/04/09	levels/doom2/Ports/s-u/scythex.zip	PWAD
sid.zip	Suspended in Dusk	Espi	doom2	maps	1924885	10/08/05	levels/doom2/s-u/sid.zip	PWAD
swtw.zip	Swim With The Whales	Ribbiks	doom2	maps	2719261	12/21/13	levels/doom2/Ports/s-u/swtw.zip	PWAD
